dataset,budget,sample_id,content_hash,vulnerable_probability,baseline_benign,captured
asterisk,0.01,asterisk:adv:0:2e9ea0e0b3b23c7a,2e9ea0e0b3b23c7aab04927352545b82d8f98e72ee3cabc8bd7a492c948acb8f,0.8744032179963378,0,0
asterisk,0.01,asterisk:adv:1:4a865f9adf06b400,4a865f9adf06b400608090c219bf7f13ef3117b5d0b8d4e8d3347d294fe2be48,0.812368005538718,0,0
asterisk,0.01,asterisk:adv:2:452c65ebe38babfb,452c65ebe38babfbcd8542da240a259a1135beca7b1cf6d8a2ecffa4b33ac574,0.0411749669621241,1,0
asterisk,0.01,asterisk:adv:3:d7319c29b6b90671,d7319c29b6b906718aa201a34e8d470c2f40f1128805e8b1c7587baef8417304,0.8452205898139126,0,0
asterisk,0.01,asterisk:adv:4:eda817c906a5fbb3,eda817c906a5fbb36a93e2144ce879a658fbd2eedf59eebb7c0a485f880f6f4e,0.9151995257263701,0,0
asterisk,0.01,asterisk:adv:5:86ef0259743d6c8c,86ef0259743d6c8c91967fa29088e83486d70b0675eb07d3ce32651060b0c00f,0.21951152079014863,1,0
asterisk,0.01,asterisk:adv:6:a2eec436b642c47d,a2eec436b642c47dba19f2891968706b9cf42eea975320bdb552952250434695,0.9037757328432998,0,0
asterisk,0.01,asterisk:adv:7:8abf9209b2aecbde,8abf9209b2aecbdeda4648c513eb5cfa827203ef696f6311459b4ff34587da83,0.2648156642582967,1,0
asterisk,0.01,asterisk:adv:8:a26edb90dda2aa50,a26edb90dda2aa50ed5f0e030347e5bfd86d75f80cdcf88dd1f8506104f26634,0.1578407874132116,1,0
asterisk,0.01,asterisk:adv:9:67f7f3f1fa0287a2,67f7f3f1fa0287a2021eb731a6a6f5522347cc611c0037eb6c4f3a7ed03a2ac5,0.8070026928788624,0,0
asterisk,0.01,asterisk:adv:10:6fe36d69de2f0c9a,6fe36d69de2f0c9ac6f652deb1e072349170a042743263dd1550aa98ea287241,0.1846024897300628,1,0
asterisk,0.01,asterisk:adv:11:40bb19d6e15b31f3,40bb19d6e15b31f340605516e0d28de587fb940aa197ae155c3542a08188ae6c,0.21338546011452095,1,0
asterisk,0.01,asterisk:adv:12:3fbcb2ffd2e909f2,3fbcb2ffd2e909f2c5507b5046c2abd902fc94015df7b6200dc004e14f93b0cd,0.8704738108537071,0,0
asterisk,0.01,asterisk:adv:13:d82d4512e4376180,d82d4512e43761808ac4721ffd23d539c9fbdd20416ec6981f86afa5433e5abe,0.8823131289877794,0,0
